POI_ID,CUISINE_TYPE,LAT,LON
800764690,Osteuropäisch,49.00419,8.39783
1161465066,Kontinental,48.99419,8.39846
1039210499,Türkisch,48.99864,8.39387
1039210458,Eis,49.0094,8.4077
1039880697,International,49.01091,8.40264
1039880699,International,49.00888,8.39835
1164819837,Burger,49.01001,8.39462
1164819836,Deutsch,49.01044,8.38464
1161449916,Fisch,49.00564,8.40332
1039257740,Griechisch,49.03137,8.37228
1039243398,Imbiss,49.01609,8.36228
1193011563,Italienisch,49.01249,8.35706
1039212931,Imbiss,49.0101,8.40519
1039212963,Eis,48.99312,8.35392
1193011683,Italienisch,49.0113,8.36076
1039243400,Deutsch,49.00078,8.35122
1039243404,Griechisch,49.02561,8.36094
1192311677,Deutsch,49.00939,8.40882
1039212939,Deutsch,49.00648,8.32796
1193011672,Deutsch,49.00619,8.38178
1039243132,International,49.00696,8.39127
1039243156,Deutsch,49.00784,8.41363
1039243142,Arabisch,49.00764,8.38751
57562999,Burger,49.01447,8.35174
1039243410,Deutsch,48.99519,8.35236
57563040,International,49.00269,8.39381
50604186,Deutsch,49.00927,8.33366
51774690,Afrikanisch,49.01097,8.39731
1193040005,Pizza,49.00973,8.38182
800765870,Italienisch,49.0089,8.39565
57568242,Deutsch,49.00308,8.40193
1178082138,International,48.99419,8.39841
844320896,Burger,49.03398,8.39424
57563179,Burger,48.99049,8.37234
51773560,Deutsch,49.00764,8.35642
800765290,Mexikanisch,49.00877,8.39543
1193104529,Italienisch,49.02499,8.35672
1039243155,Deutsch,49.01031,8.42337
1039243159,Deutsch,49.0093,8.37489
57552803,Italienisch,49.01021,8.40773
800748746,Griechisch,49.00832,8.39767
1039212923,Arabisch,49.00656,8.40592
800758882,Türkisch,49.00939,8.40882
800749380,Deutsch,49.00925,8.39504
800758758,Chinesisch,49.00557,8.41055
1193011709,Türkisch,49.01016,8.39213
1193011544,Türkisch,49.00895,8.39156
