POI_ID,POI_TYPE,LAT,LON
1069815462,Autovermietung,49.0054,8.44286
50604576,Historisches Bauwerk,49.01375,8.35947
1005221348,Schule,48.98644,8.37955
1108687011,Fachgeschäft,49.00879,8.4065
898521667,Schule,49.01871,8.36612
1164824932,Postamt,49.00789,8.382
1005221512,Schule,49.02595,8.38777
57565933,Autohändler,49.01599,8.35398
1100953692,Fachgeschäft,49.00564,8.40312
1131753366,Tankstelle,48.99171,8.37507
1148924241,Restaurant,48.99993,8.38292
1024168209,Geldautomat,49.00054,8.38595
1192311791,Restaurant,49.01042,8.39823
1115848595,Geldautomat,49.00437,8.40098
1110490847,Bank,48.9888,8.3826
800764274,Buchhandlung,48.99499,8.40137
1164958750,Restaurant,49.00966,8.38636
1108712214,Fachgeschäft,49.02338,8.37352
1005231203,Schule,49.02324,8.36605
1164824934,Postamt,49.02481,8.35733
50612145,Sportzentrum,49.00324,8.40193
1011027084,Industriegebiet,48.98208,8.37504
1108687006,Fachgeschäft,49.01093,8.39911
1178852392,Medizinischer Service,49.00938,8.42444
1010054598,Fachgeschäft,48.99217,8.40211
1039880697,Restaurant,49.01091,8.40264
50604814,Historisches Bauwerk,48.98807,8.38113
1039266240,Fachgeschäft,49.00769,8.41092
1174482430,fahrradleihstation,49.01108,8.41773
1017889050,Geldautomat,49.01068,8.35932
1005229661,Schule,48.99864,8.35033
801780843,Apotheke,49.00495,8.33174
1070623356,Elektrofachmarkt,49.0098,8.39995
57563898,Restaurant,49.02829,8.35829
1031198219,Schule,48.99669,8.3539
1131722977,Erholungsgebiet,49.00544,8.35359
1058713708,Fachgeschäft,49.00773,8.38578
1135445621,Autohändler,49.03316,8.35534
1039880845,Nachtleben,49.00899,8.403
1039243398,Restaurant,49.01609,8.36228
1192311213,Restaurant,49.01022,8.39789
1039266228,Fachgeschäft,49.00564,8.40312
898517696,Schule,49.00813,8.37532
1039210458,Restaurant,49.0094,8.4077
1108687013,Fachgeschäft,48.99518,8.39019
1193011672,Restaurant,49.00619,8.38178
1174497902,fahrradleihstation,49.00707,8.37254
844320896,Restaurant,49.03398,8.39424
1024643519,Bank,49.01068,8.35932
1058556660,Medizinischer Service,49.01052,8.381
1110490873,Bank,49.00531,8.33115
1005167655,Schule,49.00372,8.3965
1039893530,Schule,49.01034,8.35542
1005223619,Schule,49.01245,8.4402
1165961640,Möbel- und Einrichtungshaus,49.01152,8.38757
800757323,Apotheke,49.00815,8.39487
1112142127,Fachgeschäft,48.99604,8.39221
1070067526,Nahverkehrsbahnhof,48.99289,8.33549
1164871054,Bekleidungsgeschäft,49.00171,8.39438
1039259863,Fachgeschäft,49.01102,8.31613
1039211644,Kaffeehaus,49.00564,8.40312
