POI_ID,NAME,LAT,LON
1103752739,ALDI SÜD,49.02103,8.35402
1070067178,Stadtbahn Philippstraße,49.01145,8.36437
50605089,Alfa,49.00859,8.39664
50604368,Auferstehungskirche,49.01218,8.3839
1058556685,Dr. med. dent. Ernst Bertram,49.00591,8.37714
1039130163,PALMERS,49.00564,8.40312
801782356,Drais-Apotheke,49.01749,8.36775
1070085021,Stadtbahn Haus Bethlehem,49.03362,8.37644
1039211644,Starbucks-Ettlinger Tor,49.00564,8.40312
1039210476,Scruffy's Irish Pub,49.01158,8.3952
1058556696,Zahnarztpraxis Dr. Lahr,49.00752,8.38922
1108686606,Patrick Waltner-Professional Hair,49.00834,8.42734
1039893029,Heinrich-Hertz-Schule,48.99876,8.38419
1017621220,Amtsgericht Karlsruhe,49.01165,8.40111
1112142131,Elke Lazar Blumen und Geschenke,49.0047,8.33119
1132034817,Fahrrad Wulf,49.00934,8.38972
1112142126,RETIF Floristik,49.00637,8.44356
1011027087,Technologiepark Karlsruhe,49.02096,8.44105
898522360,Postbank,49.01001,8.39462
1193037899,Treffpunkt,49.01634,8.44088
1039243422,Rheinwaldhütte,49.00795,8.31776
1017027839,Hauptbahnhof P7,48.99158,8.39815
1023773293,Volkswagen Zentrum Karlsruhe GmbH,49.00833,8.41715
1149534815,Neuer Zirkel,49.01158,8.4089
1178850682,Dr. med. Adrian Schäfer,48.99681,8.34869
1108712214,Friseur Asymmetrie,49.02338,8.37352
1113023123,Lang Automobile GmbH,49.00806,8.44297
1011093793,Gewerbegebiet Neureuterstraße,49.03765,8.36533
1108536923,Doering Spielwaren,49.00934,8.40095
1058544173,Zahnarztpraxis Dr. Becherer,49.00248,8.3988
1149443590,No17 Fleur de Sel,49.00566,8.41024
1148730267,B & B Hotel Karlsruhe,48.99192,8.40283
1005232594,HORNBACH,48.99834,8.35671
1108536937,Fingerhut Pfiffiges Spielzeug,49.00964,8.38176
800759072,Sushi Circle,49.00721,8.40265
1058544184,Zahnarztpraxis Bernd Schuler,49.03076,8.36632
1070459466,Tchibo,49.00981,8.39893
50612481,Sankt-Vincentius-Kliniken II,48.99974,8.37944
1039880697,Multi Kulti,49.01091,8.40264
800763864,Johannes-Apotheke,49.00769,8.41092
57563179,McDonald's (McDrive),48.99049,8.37234
1039243166,Die Pinte,49.00795,8.38958
800766609,Buchkaiser,49.00987,8.39757
1031198251,Evangel. Kindergarten,49.01642,8.42394
1132504374,O2,49.00564,8.40312
1039823164,St. Michael,48.99426,8.39006
1070066402,Stadtbahn Europaplatz/PostGalerie,49.01002,8.39427
801780836,Apotheke am Durlacher Tor,49.00865,8.41821
1058701741,Dr. Dr. med. dent. Naftali Cohn,49.02416,8.37145
1110490844,Sparkasse Karlsruhe Ettlingen,48.99581,8.35307
1011545178,MEXX,49.00961,8.40313
1108686610,Scherb Salon,48.9956,8.40234
50603000,ARAL,49.0151,8.43475
1178851649,Dr. med. Beate Weinschenk,49.00744,8.38977
1108687032,Salon Mewan,49.01011,8.39328
50605161,Ambassador,49.00799,8.39152
1126266704,Sparkasse Karlsruhe Ettlingen,49.0035,8.38166
800762969,Gigi,49.00306,8.40556
50603203,JET,49.01414,8.35497
1193011709,Zel Restaurant,49.01016,8.39213
1104303589,G + H Modevertrieb,49.00749,8.39488
997869580,AH Neureither Karlsruhe GmbH,49.03247,8.35896
